Active stego-attack type;10_document_inspector_attack
Total attack time lapse (s);115.97
Total attack time lapse (min);1.93
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (s);32.81;0;0;31.16;24.83;27.17


Active stego-attack type;1_insert_attack
Total attack time lapse (s);66.4
Total attack time lapse (min);1.11
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (s);19.77;0;0;17.89;12.18;16.55


Active stego-attack type;2_delete_attack
Total attack time lapse (s);68.48
Total attack time lapse (min);1.14
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (s);19.95;0;0;17.59;12.53;18.4


Active stego-attack type;3_edit_modify_attack
Total attack time lapse (s);65.32
Total attack time lapse (min);1.09
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (s);18.82;0;0;17.29;12.03;17.18


Active stego-attack type;4_format_attack
Total attack time lapse (s);361.59
Total attack time lapse (min);6.03
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (s);101.62;0;0;98.87;66.07;95.04


Active stego-attack type;5_impersonation_attack
Total attack time lapse (s);1021.06
Total attack time lapse (min);17.02
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (s);305.44;0;0;285.83;177.61;252.19


Active stego-attack type;6_save_as_attack
Total attack time lapse (s);78.53
Total attack time lapse (min);1.31
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (s);20.01;0;0;22.32;16.83;19.37


Active stego-attack type;7_copy_attack
Total attack time lapse (s);0.13
Total attack time lapse (min);0.0
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (s);0.03;0;0;0.04;0.03;0.03


Active stego-attack type;8_retype_attack
Total attack time lapse (s);12.51
Total attack time lapse (min);0.21
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (s);3.66;0;0;3.22;2.41;3.21


Active stego-attack type;9_clear_format_attack
Total attack time lapse (s);100.23
Total attack time lapse (min);1.67
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (s);24.68;0;0;26.67;18.85;30.04


