Stego-method;stego_method_1;;;;;stego_method_4;;;;;stego_method_5;;;;;stego_method_6;;;
Attack type;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%)
01_insert_attack;16;SAFE;0;0;;18;SAFE;18;100;;15;SAFE;0;0;;15;SAFE;15;100
;;CORRUPTED;16;100;;;CORRUPTED;0;0;;;CORRUPTED;10;66.67;;;CORRUPTED;0;0
;;MISSING;0;0;;;MISSING;0;0;;;MISSING;5;33.33;;;MISSING;0;0
;;;;;;;;;;;;;;;;;;;
Attack type;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%)
02_delete_attack;16;SAFE;0;0;;18;SAFE;18;100;;15;SAFE;0;0;;15;SAFE;0;0
;;CORRUPTED;16;100;;;CORRUPTED;0;0;;;CORRUPTED;15;100;;;CORRUPTED;15;100
;;MISSING;0;0;;;MISSING;0;0;;;MISSING;0;0;;;MISSING;0;0
;;;;;;;;;;;;;;;;;;;
Attack type;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%)
03_edit_modify_attack;16;SAFE;0;0;;18;SAFE;18;100;;15;SAFE;0;0;;15;SAFE;0;0
;;CORRUPTED;16;100;;;CORRUPTED;0;0;;;CORRUPTED;15;100;;;CORRUPTED;15;100
;;MISSING;0;0;;;MISSING;0;0;;;MISSING;0;0;;;MISSING;0;0
;;;;;;;;;;;;;;;;;;;
Attack type;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%)
04_format_attack;16;SAFE;16;100;;18;SAFE;18;100;;15;SAFE;15;100;;15;SAFE;15;100
;;CORRUPTED;0;0;;;CORRUPTED;0;0;;;CORRUPTED;0;0;;;CORRUPTED;0;0
;;MISSING;0;0;;;MISSING;0;0;;;MISSING;0;0;;;MISSING;0;0
;;;;;;;;;;;;;;;;;;;
Attack type;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%)
05_impersonation_attack;16;SAFE;0;0;;18;SAFE;0;0;;15;SAFE;0;0;;15;SAFE;10;66.67
;;CORRUPTED;0;0;;;CORRUPTED;18;100;;;CORRUPTED;0;0;;;CORRUPTED;5;33.33
;;MISSING;16;100;;;MISSING;0;0;;;MISSING;15;100;;;MISSING;0;0
;;;;;;;;;;;;;;;;;;;
