Data set;clean
Document Name;Data set document amount;Document file size (B);Document file size (KB);Document file size (MB)
49833f5cf0647c2295e3b3bf11a68ec47a813414;21;516887;504.77;0.49
5F7F36M3NZCHDTIFIVI5JQRBDYNY6KJL;21;37705;36.82;0.04
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;21;44797;43.75;0.04
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;21;2623406;2561.92;2.5
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;21;39861;38.93;0.04
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;21;39986;39.05;0.04
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;21;42495;41.5;0.04
f55a8d69c6047f9037f79225c367766987e25f2b;21;169763;165.78;0.16
f997183fa6bf1ef75e31406d98f025c16e527d20;21;10937606;10681.26;10.43
fsi-2010;21;43446;42.43;0.04
fsi-2019;21;51783;50.57;0.05
fsi-2021;21;43840;42.81;0.04
fsi-2022-download;21;57724;56.37;0.06
FXDCZKVBXPOBKON5ZHKWU6WCDH5BEDYV;21;38104;37.21;0.04
H75CHMEGQV5GB7Y4YQS4OYSBCPHUFFBY;21;258126;252.08;0.25
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;21;38527;37.62;0.04
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;21;43365;42.35;0.04
LAL27T7CADLHBSTG3MN4LEQI5CT7CLHU;21;313831;306.48;0.3
MFDBEUJHJSM7EYXX7SA6GULFWNIDHE5Q;21;47814513;46693.86;45.6
sa-datasets;21;404225;394.75;0.39
TEST_0;21;15352;14.99;0.01

Data set;hide_in_text
Document Name;Data set document amount;Document file size (B);Document file size (KB);Document file size (MB)
49833f5cf0647c2295e3b3bf11a68ec47a813414;16;521338;509.12;0.5
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;16;49129;47.98;0.05
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;16;2627149;2565.58;2.51
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;16;43221;42.21;0.04
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;16;43318;42.3;0.04
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;16;45963;44.89;0.04
f55a8d69c6047f9037f79225c367766987e25f2b;16;173126;169.07;0.17
f997183fa6bf1ef75e31406d98f025c16e527d20;16;10942084;10685.63;10.44
fsi-2010;16;44847;43.8;0.04
fsi-2019;16;52967;51.73;0.05
fsi-2021;16;45231;44.17;0.04
fsi-2022-download;16;58940;57.56;0.06
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;16;40460;39.51;0.04
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;16;47177;46.07;0.04
sa-datasets;16;406321;396.8;0.39
TEST_0;16;16785;16.39;0.02

Data set;modify_RGB_color_ch
Document Name;Data set document amount;Document file size (B);Document file size (KB);Document file size (MB)
49833f5cf0647c2295e3b3bf11a68ec47a813414;18;518685;506.53;0.49
5F7F36M3NZCHDTIFIVI5JQRBDYNY6KJL;18;38786;37.88;0.04
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;18;46171;45.09;0.04
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;18;2624526;2563.01;2.5
