Data set;clean
Document Name;Total Paragraph Count;Total Run Element Count;Total Text Element Count
49833f5cf0647c2295e3b3bf11a68ec47a813414;82;267;219
5F7F36M3NZCHDTIFIVI5JQRBDYNY6KJL;9;11;11
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;49;198;132
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;313;736;652
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;33;80;64
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;77;94;90
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;55;175;163
f55a8d69c6047f9037f79225c367766987e25f2b;37;164;113
f997183fa6bf1ef75e31406d98f025c16e527d20;726;1903;1734
fsi-2010;178;2848;2848
fsi-2019;2100;35700;35700
fsi-2021;180;2880;2880
fsi-2022-download;2992;56848;56848
FXDCZKVBXPOBKON5ZHKWU6WCDH5BEDYV;5;9;9
H75CHMEGQV5GB7Y4YQS4OYSBCPHUFFBY;7;4;0
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;16;112;140
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;113;213;176
LAL27T7CADLHBSTG3MN4LEQI5CT7CLHU;24;24;0
MFDBEUJHJSM7EYXX7SA6GULFWNIDHE5Q;733;367;0
sa-datasets;1860;48360;49843
TEST_0;17;27;26

Data set;hide_in_text
Document Name;Total Paragraph Count;Total Run Element Count;Total Text Element Count
49833f5cf0647c2295e3b3bf11a68ec47a813414;82;1211;1163
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;49;1142;1061
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;313;1680;1585
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;33;1024;808
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;77;1038;1023
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;55;1119;1102
f55a8d69c6047f9037f79225c367766987e25f2b;37;1108;1057
f997183fa6bf1ef75e31406d98f025c16e527d20;726;2847;2675
fsi-2010;178;3792;3792
fsi-2019;2100;36644;36644
fsi-2021;180;3824;3824
fsi-2022-download;2992;57792;57792
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;16;1056;1072
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;113;1157;1114
sa-datasets;1860;49304;50787
TEST_0;17;971;968

Data set;modify_RGB_color_ch
Document Name;Total Paragraph Count;Total Run Element Count;Total Text Element Count
49833f5cf0647c2295e3b3bf11a68ec47a813414;82;469;421
5F7F36M3NZCHDTIFIVI5JQRBDYNY6KJL;9;215;215
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;49;404;338
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;313;941;857
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;33;286;270
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;77;300;296
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;55;378;366
f55a8d69c6047f9037f79225c367766987e25f2b;37;367;316
f997183fa6bf1ef75e31406d98f025c16e527d20;726;2109;1940
fsi-2010;178;3029;3029
fsi-2019;2100;35876;35876
fsi-2021;180;3056;3056
fsi-2022-download;2992;57024;57024
FXDCZKVBXPOBKON5ZHKWU6WCDH5BEDYV;5;218;218
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;16;307;335
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;113;412;375
sa-datasets;1860;48566;50049
TEST_0;17;237;236

Data set;unispace
Document Name;Total Paragraph Count;Total Run Element Count;Total Text Element Count
49833f5cf0647c2295e3b3bf11a68ec47a813414;82;267;219
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;49;198;132
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;313;736;652
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;33;80;64
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;77;94;90
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;55;175;163
f55a8d69c6047f9037f79225c367766987e25f2b;37;164;113
f997183fa6bf1ef75e31406d98f025c16e527d20;726;1903;1734
fsi-2010;178;2848;2848
fsi-2019;2100;35700;35700
fsi-2021;180;2880;2880
fsi-2022-download;2992;56848;56848
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;16;112;140
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;113;213;176
sa-datasets;1860;48360;49843
TEST_0;17;27;26

Data set;unicode_homoglyphs
Document Name;Total Paragraph Count;Total Run Element Count;Total Text Element Count
49833f5cf0647c2295e3b3bf11a68ec47a813414;82;267;219
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;49;198;132
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;313;736;652
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;77;94;90
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;55;175;163
f55a8d69c6047f9037f79225c367766987e25f2b;37;164;113
f997183fa6bf1ef75e31406d98f025c16e527d20;726;1903;1734
fsi-2010;178;2848;2848
fsi-2019;2100;35700;35700
fsi-2021;180;2880;2880
fsi-2022-download;2992;56848;56848
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;16;112;140
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;113;213;176
sa-datasets;1860;48360;49843
TEST_0;17;27;26
