Data set;clean
Document Name;Total word count;Total whitespace count;Word to Whitespace ratio (%)
49833f5cf0647c2295e3b3bf11a68ec47a813414;2058;2023;98.3
5F7F36M3NZCHDTIFIVI5JQRBDYNY6KJL;133;133;100.0
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;746;831;111.39
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;5532;5694;102.93
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;473;1543;326.22
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;725;688;94.9
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;1617;1672;103.4
f55a8d69c6047f9037f79225c367766987e25f2b;734;735;100.14
f997183fa6bf1ef75e31406d98f025c16e527d20;10762;11036;102.55
fsi-2010;3095;3095;100.0
fsi-2019;35951;35951;100.0
fsi-2021;2946;2946;100.0
fsi-2022-download;57093;57093;100.0
FXDCZKVBXPOBKON5ZHKWU6WCDH5BEDYV;68;70;102.94
H75CHMEGQV5GB7Y4YQS4OYSBCPHUFFBY;0;0;0
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;1017;1044;102.65
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;1079;1117;103.52
LAL27T7CADLHBSTG3MN4LEQI5CT7CLHU;0;0;0
MFDBEUJHJSM7EYXX7SA6GULFWNIDHE5Q;0;0;0
sa-datasets;153170;155205;101.33
TEST_0;1346;1331;98.89

Data set;hide_in_text
Document Name;Total word count;Total whitespace count;Word to Whitespace ratio (%)
49833f5cf0647c2295e3b3bf11a68ec47a813414;2294;2259;98.47
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;982;1067;108.66
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;5768;5930;102.81
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;709;1779;250.92
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;961;924;96.15
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;1853;1908;102.97
f55a8d69c6047f9037f79225c367766987e25f2b;970;971;100.1
f997183fa6bf1ef75e31406d98f025c16e527d20;10998;11272;102.49
fsi-2010;3331;3331;100.0
