Data set;clean
Document Name;Total char count;Total non-ASCII char count;Total char to non-ASCII char ratio (%)
49833f5cf0647c2295e3b3bf11a68ec47a813414;13494;11;0.08
5F7F36M3NZCHDTIFIVI5JQRBDYNY6KJL;832;0;0.0
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;5090;15;0.29
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;36901;33;0.09
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;4016;0;0.0
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;4376;5;0.11
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;9886;41;0.41
f55a8d69c6047f9037f79225c367766987e25f2b;4683;16;0.34
f997183fa6bf1ef75e31406d98f025c16e527d20;73327;2492;3.4
fsi-2010;15355;0;0.0
fsi-2019;179609;0;0.0
fsi-2021;14045;0;0.0
fsi-2022-download;286345;1;0.0
FXDCZKVBXPOBKON5ZHKWU6WCDH5BEDYV;373;0;0.0
H75CHMEGQV5GB7Y4YQS4OYSBCPHUFFBY;0;0;0
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;7239;0;0.0
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;6656;13;0.2
LAL27T7CADLHBSTG3MN4LEQI5CT7CLHU;0;0;0
MFDBEUJHJSM7EYXX7SA6GULFWNIDHE5Q;0;0;0
sa-datasets;1339700;604;0.05
TEST_0;7875;0;0.0

Data set;hide_in_text
Document Name;Total char count;Total non-ASCII char count;Total char to non-ASCII char ratio (%)
49833f5cf0647c2295e3b3bf11a68ec47a813414;13966;11;0.08
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;5562;15;0.27
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;37373;33;0.09
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;4488;0;0.0
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;4848;5;0.1
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;10358;41;0.4
f55a8d69c6047f9037f79225c367766987e25f2b;5155;16;0.31
f997183fa6bf1ef75e31406d98f025c16e527d20;73799;2492;3.38
fsi-2010;15827;0;0.0
fsi-2019;180081;0;0.0
fsi-2021;14517;0;0.0
fsi-2022-download;286817;1;0.0
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;7711;0;0.0
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;7128;13;0.18
sa-datasets;1340172;604;0.05
TEST_0;8347;0;0.0

Data set;modify_RGB_color_ch
Document Name;Total char count;Total non-ASCII char count;Total char to non-ASCII char ratio (%)
49833f5cf0647c2295e3b3bf11a68ec47a813414;13494;11;0.08
5F7F36M3NZCHDTIFIVI5JQRBDYNY6KJL;832;0;0.0
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;5090;15;0.29
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;36901;33;0.09
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;4016;0;0.0
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;4376;5;0.11
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;9886;41;0.41
f55a8d69c6047f9037f79225c367766987e25f2b;4683;16;0.34
f997183fa6bf1ef75e31406d98f025c16e527d20;73327;2492;3.4
fsi-2010;15355;0;0.0
fsi-2019;179609;0;0.0
fsi-2021;14045;0;0.0
fsi-2022-download;286345;1;0.0
FXDCZKVBXPOBKON5ZHKWU6WCDH5BEDYV;373;0;0.0
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;7239;0;0.0
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;6656;13;0.2
sa-datasets;1339700;604;0.05
TEST_0;7875;0;0.0

Data set;unispace
Document Name;Total char count;Total non-ASCII char count;Total char to non-ASCII char ratio (%)
49833f5cf0647c2295e3b3bf11a68ec47a813414;13838;527;3.81
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;5434;531;9.77
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;37245;549;1.47
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;4360;516;11.83
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;4720;521;11.04
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;10230;557;5.44
f55a8d69c6047f9037f79225c367766987e25f2b;5027;532;10.58
f997183fa6bf1ef75e31406d98f025c16e527d20;73671;3008;4.08
fsi-2010;15699;516;3.29
fsi-2019;179953;516;0.29
fsi-2021;14389;516;3.59
fsi-2022-download;286689;517;0.18
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;7583;516;6.8
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;7000;529;7.56
TEST_0;8219;516;6.28

Data set;unicode_homoglyphs
Document Name;Total char count;Total non-ASCII char count;Total char to non-ASCII char ratio (%)
49833f5cf0647c2295e3b3bf11a68ec47a813414;13494;672;4.98
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;5090;676;13.28
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;36901;694;1.88
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;4376;666;15.22
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;9886;702;7.1
f55a8d69c6047f9037f79225c367766987e25f2b;4683;677;14.46
f997183fa6bf1ef75e31406d98f025c16e527d20;73327;3153;4.3
fsi-2010;15355;661;4.3
fsi-2019;179609;661;0.37
fsi-2021;14045;661;4.71
fsi-2022-download;286345;662;0.23
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;7239;661;9.13
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;6656;674;10.13
sa-datasets;1339700;1265;0.09
TEST_0;7875;661;8.39
