Document Name;Data set document amount;Document file size (B);Document file size (KB);Document file size (MB);Total Paragraph Count;Total Run Element Count;Total Text Element Count;Run Font Sizes (pt) frequencies;.;.;.;.;Run Font Sizes (pt) frequencies (%);.;.;.;.;Run RGB colours frequencies;.;.;Run RGB colours frequencies (%);.;.;Single non-whitespace char run count;Total run element count;Total run element count percentage;Single Char type frequencies;.;.;.;Single Char type frequencies (single run, %);.;.;.;Single Char type frequencies (total runs, %);.;.;.;Total word count;Total whitespace count;Word to Whitespace ratio (%);Total char count;Total non-ASCII char count;Total char to non-ASCII char ratio (%)
.;.;.;.;.;.;.;.;.+20.;.20-11.;.11.;.10-1.;.1.;.+20.;.20-11.;.11.;.10-1.;.1.;black;white;other;black;white;other;;;;uppercase;lowercase;digit;other;uppercase;lowercase;digit;other;uppercase;lowercase;digit;other;.;.;.;.;.;.
49833f5cf0647c2295e3b3bf11a68ec47a813414;21;516887;504.77;0.49;82;267;219;0;18;232;17;0;0.0;6.74;86.89;6.37;0.0;238;0;29;89.14;0.0;10.86;50;267;18.73;0;0;0;50;0.0;0.0;0.0;100.0;0.0;0.0;0.0;18.73;2058;2023;98.3;13494;11;0.08
5F7F36M3NZCHDTIFIVI5JQRBDYNY6KJL;21;37705;36.82;0.04;9;11;11;0;1;0;10;0;0.0;9.09;0.0;90.91;0.0;11;0;0;100.0;0.0;0.0;0;11;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;133;133;100.0;832;0;0.0
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;21;44797;43.75;0.04;49;198;132;0;0;66;132;0;0.0;0.0;33.33;66.67;0.0;198;0;0;100.0;0.0;0.0;66;198;33.33;0;0;0;66;0.0;0.0;0.0;100.0;0.0;0.0;0.0;33.33;746;831;111.39;5090;15;0.29
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;21;2623406;2561.92;2.5;313;736;652;0;593;112;31;0;0.0;80.57;15.22;4.21;0.0;736;0;0;100.0;0.0;0.0;55;736;7.47;1;2;21;31;1.82;3.64;38.18;56.36;0.14;0.27;2.85;4.21;5532;5694;102.93;36901;33;0.09
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;21;39861;38.93;0.04;33;80;64;0;64;16;0;0;0.0;80.0;20.0;0.0;0.0;80;0;0;100.0;0.0;0.0;16;80;20.0;0;0;0;16;0.0;0.0;0.0;100.0;0.0;0.0;0.0;20.0;473;1543;326.22;4016;0;0.0
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;21;39986;39.05;0.04;77;94;90;0;0;80;14;0;0.0;0.0;85.11;14.89;0.0;94;0;0;100.0;0.0;0.0;7;94;7.45;0;0;3;4;0.0;0.0;42.86;57.14;0.0;0.0;3.19;4.26;725;688;94.9;4376;5;0.11
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;21;42495;41.5;0.04;55;175;163;0;152;21;2;0;0.0;86.86;12.0;1.14;0.0;175;0;0;100.0;0.0;0.0;12;175;6.86;0;0;0;12;0.0;0.0;0.0;100.0;0.0;0.0;0.0;6.86;1617;1672;103.4;9886;41;0.41
f55a8d69c6047f9037f79225c367766987e25f2b;21;169763;165.78;0.16;37;164;113;3;19;142;0;0;1.83;11.59;86.59;0.0;0.0;129;7;28;78.66;4.27;17.07;66;164;40.24;0;0;0;66;0.0;0.0;0.0;100.0;0.0;0.0;0.0;40.24;734;735;100.14;4683;16;0.34
f997183fa6bf1ef75e31406d98f025c16e527d20;21;10937606;10681.26;10.43;726;1903;1734;18;22;1508;355;0;0.95;1.16;79.24;18.65;0.0;1089;10;804;57.23;0.53;42.25;187;1903;9.83;0;0;10;177;0.0;0.0;5.35;94.65;0.0;0.0;0.53;9.3;10762;11036;102.55;73327;2492;3.4
fsi-2010;21;43446;42.43;0.04;178;2848;2848;0;0;2848;0;0;0.0;0.0;100.0;0.0;0.0;2848;0;0;100.0;0.0;0.0;0;2848;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;3095;3095;100.0;15355;0;0.0
fsi-2019;21;51783;50.57;0.05;2100;35700;35700;0;0;35700;0;0;0.0;0.0;100.0;0.0;0.0;35700;0;0;100.0;0.0;0.0;0;35700;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;35951;35951;100.0;179609;0;0.0
fsi-2021;21;43840;42.81;0.04;180;2880;2880;0;0;2880;0;0;0.0;0.0;100.0;0.0;0.0;2880;0;0;100.0;0.0;0.0;0;2880;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2946;2946;100.0;14045;0;0.0
fsi-2022-download;21;57724;56.37;0.06;2992;56848;56848;0;0;56848;0;0;0.0;0.0;100.0;0.0;0.0;56848;0;0;100.0;0.0;0.0;0;56848;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;57093;57093;100.0;286345;1;0.0
FXDCZKVBXPOBKON5ZHKWU6WCDH5BEDYV;21;38104;37.21;0.04;5;9;9;0;3;0;6;0;0.0;33.33;0.0;66.67;0.0;9;0;0;100.0;0.0;0.0;0;9;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;68;70;102.94;373;0;0.0
H75CHMEGQV5GB7Y4YQS4OYSBCPHUFFBY;21;258126;252.08;0.25;7;4;0;0;0;4;0;0;0.0;0.0;100.0;0.0;0.0;4;0;0;100.0;0.0;0.0;0;4;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;21;38527;37.62;0.04;16;112;140;0;0;112;0;0;0.0;0.0;100.0;0.0;0.0;112;0;0;100.0;0.0;0.0;0;112;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1017;1044;102.65;7239;0;0.0
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;21;43365;42.35;0.04;113;213;176;0;4;39;170;0;0.0;1.88;18.31;79.81;0.0;213;0;0;100.0;0.0;0.0;39;213;18.31;0;0;0;39;0.0;0.0;0.0;100.0;0.0;0.0;0.0;18.31;1079;1117;103.52;6656;13;0.2
LAL27T7CADLHBSTG3MN4LEQI5CT7CLHU;21;313831;306.48;0.3;24;24;0;0;0;24;0;0;0.0;0.0;100.0;0.0;0.0;24;0;0;100.0;0.0;0.0;0;24;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0
MFDBEUJHJSM7EYXX7SA6GULFWNIDHE5Q;21;47814513;46693.86;45.6;733;367;0;0;0;367;0;0;0.0;0.0;100.0;0.0;0.0;367;0;0;100.0;0.0;0.0;0;367;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0
sa-datasets;21;404225;394.75;0.39;1860;48360;49843;0;0;48360;0;0;0.0;0.0;100.0;0.0;0.0;48360;0;0;100.0;0.0;0.0;0;48360;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;153170;155205;101.33;1339700;604;0.05
TEST_0;21;15352;14.99;0.01;17;27;26;2;0;25;0;0;7.41;0.0;92.59;0.0;0.0;27;0;0;100.0;0.0;0.0;2;27;7.41;0;1;0;1;0.0;50.0;0.0;50.0;0.0;3.7;0.0;3.7;1346;1331;98.89;7875;0;0.0
