Document Name;Data set document amount;Document file size (B);Document file size (KB);Document file size (MB);Total Paragraph Count;Total Run Element Count;Total Text Element Count;Run Font Sizes (pt) frequencies;.;.;.;.;Run Font Sizes (pt) frequencies (%);.;.;.;.;Run RGB colours frequencies;.;.;Run RGB colours frequencies (%);.;.;Single non-whitespace char run count;Total run element count;Total run element count percentage;Single Char type frequencies;.;.;.;Single Char type frequencies (single run, %);.;.;.;Single Char type frequencies (total runs, %);.;.;.;Total word count;Total whitespace count;Word to Whitespace ratio (%);Total char count;Total non-ASCII char count;Total char to non-ASCII char ratio (%)
.;.;.;.;.;.;.;.;.+20.;.20-11.;.11.;.10-1.;.1.;.+20.;.20-11.;.11.;.10-1.;.1.;black;white;other;black;white;other;;;;uppercase;lowercase;digit;other;uppercase;lowercase;digit;other;uppercase;lowercase;digit;other;.;.;.;.;.;.
49833f5cf0647c2295e3b3bf11a68ec47a813414;16;521338;509.12;0.5;82;1211;1163;0;18;904;53;236;0.0;1.49;74.65;4.38;19.49;946;236;29;78.12;19.49;2.39;298;1211;24.61;112;96;36;54;37.58;32.21;12.08;18.12;9.25;7.93;2.97;4.46;2294;2259;98.47;13966;11;0.08
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;16;49129;47.98;0.05;49;1142;1061;0;0;66;840;236;0.0;0.0;5.78;73.56;20.67;906;236;0;79.33;20.67;0.0;316;1142;27.67;112;99;31;74;35.44;31.33;9.81;23.42;9.81;8.67;2.71;6.48;982;1067;108.66;5562;15;0.27
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;16;2627149;2565.58;2.51;313;1680;1585;0;1295;112;37;236;0.0;77.08;6.67;2.2;14.05;1444;236;0;85.95;14.05;0.0;306;1680;18.21;113;102;49;42;36.93;33.33;16.01;13.73;6.73;6.07;2.92;2.5;5768;5930;102.81;37373;33;0.09
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;16;43221;42.21;0.04;33;1024;808;0;772;16;0;236;0.0;75.39;1.56;0.0;23.05;788;236;0;76.95;23.05;0.0;252;1024;24.61;112;95;28;17;44.44;37.7;11.11;6.75;10.94;9.28;2.73;1.66;709;1779;250.92;4488;0;0.0
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;16;43318;42.3;0.04;77;1038;1023;0;0;788;14;236;0.0;0.0;75.92;1.35;22.74;802;236;0;77.26;22.74;0.0;257;1038;24.76;112;100;32;13;43.58;38.91;12.45;5.06;10.79;9.63;3.08;1.25;961;924;96.15;4848;5;0.1
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;16;45963;44.89;0.04;55;1119;1102;0;857;24;2;236;0.0;76.59;2.14;0.18;21.09;883;236;0;78.91;21.09;0.0;254;1119;22.7;114;98;29;13;44.88;38.58;11.42;5.12;10.19;8.76;2.59;1.16;1853;1908;102.97;10358;41;0.4
f55a8d69c6047f9037f79225c367766987e25f2b;16;173126;169.07;0.17;37;1108;1057;3;49;820;0;236;0.27;4.42;74.01;0.0;21.3;807;243;58;72.83;21.93;5.23;307;1108;27.71;113;99;28;67;36.81;32.25;9.12;21.82;10.2;8.94;2.53;6.05;970;971;100.1;5155;16;0.31
f997183fa6bf1ef75e31406d98f025c16e527d20;16;10942084;10685.63;10.44;726;2847;2675;24;22;2063;502;236;0.84;0.77;72.46;17.63;8.29;1644;246;957;57.74;8.64;33.61;428;2847;15.03;112;99;38;179;26.17;23.13;8.88;41.82;3.93;3.48;1.33;6.29;10998;11272;102.49;73799;2492;3.38
fsi-2010;16;44847;43.8;0.04;178;3792;3792;0;0;3556;0;236;0.0;0.0;93.78;0.0;6.22;3556;236;0;93.78;6.22;0.0;253;3792;6.67;112;95;45;1;44.27;37.55;17.79;0.4;2.95;2.51;1.19;0.03;3331;3331;100.0;15827;0;0.0
fsi-2019;16;52967;51.73;0.05;2100;36644;36644;0;0;36408;0;236;0.0;0.0;99.36;0.0;0.64;36408;236;0;99.36;0.64;0.0;236;36644;0.64;112;95;28;1;47.46;40.25;11.86;0.42;0.31;0.26;0.08;0.0;36187;36187;100.0;180081;0;0.0
fsi-2021;16;45231;44.17;0.04;180;3824;3824;0;0;3588;0;236;0.0;0.0;93.83;0.0;6.17;3588;236;0;93.83;6.17;0.0;257;3824;6.72;112;95;49;1;43.58;36.96;19.07;0.39;2.93;2.48;1.28;0.03;3182;3182;100.0;14517;0;0.0
fsi-2022-download;16;58940;57.56;0.06;2992;57792;57792;0;0;57556;0;236;0.0;0.0;99.59;0.0;0.41;57556;236;0;99.59;0.41;0.0;236;57792;0.41;112;95;28;1;47.46;40.25;11.86;0.42;0.19;0.16;0.05;0.0;57329;57329;100.0;286817;1;0.0
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;16;40460;39.51;0.04;16;1056;1072;0;0;820;0;236;0.0;0.0;77.65;0.0;22.35;820;236;0;77.65;22.35;0.0;238;1056;22.54;112;96;28;2;47.06;40.34;11.76;0.84;10.61;9.09;2.65;0.19;1253;1280;102.15;7711;0;0.0
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;16;47177;46.07;0.04;113;1157;1114;0;4;39;878;236;0.0;0.35;3.37;75.89;20.4;921;236;0;79.6;20.4;0.0;294;1157;25.41;116;96;30;52;39.46;32.65;10.2;17.69;10.03;8.3;2.59;4.49;1315;1353;102.89;7128;13;0.18
sa-datasets;16;406321;396.8;0.39;1860;49304;50787;0;0;49068;0;236;0.0;0.0;99.52;0.0;0.48;49068;236;0;99.52;0.48;0.0;248;49304;0.5;112;99;32;5;45.16;39.92;12.9;2.02;0.23;0.2;0.06;0.01;153406;155441;101.33;1340172;604;0.05
TEST_0;16;16785;16.39;0.02;17;971;968;2;0;733;0;236;0.21;0.0;75.49;0.0;24.3;735;236;0;75.7;24.3;0.0;241;971;24.82;112;99;28;2;46.47;41.08;11.62;0.83;11.53;10.2;2.88;0.21;1582;1567;99.05;8347;0;0.0
