Document Name;Data set document amount;Document file size (B);Document file size (KB);Document file size (MB);Total Paragraph Count;Total Run Element Count;Total Text Element Count;Run Font Sizes (pt) frequencies;.;.;.;.;Run Font Sizes (pt) frequencies (%);.;.;.;.;Run RGB colours frequencies;.;.;Run RGB colours frequencies (%);.;.;Single non-whitespace char run count;Total run element count;Total run element count percentage;Single Char type frequencies;.;.;.;Single Char type frequencies (single run, %);.;.;.;Single Char type frequencies (total runs, %);.;.;.;Total word count;Total whitespace count;Word to Whitespace ratio (%);Total char count;Total non-ASCII char count;Total char to non-ASCII char ratio (%)
.;.;.;.;.;.;.;.;.+20.;.20-11.;.11.;.10-1.;.1.;.+20.;.20-11.;.11.;.10-1.;.1.;black;white;other;black;white;other;;;;uppercase;lowercase;digit;other;uppercase;lowercase;digit;other;uppercase;lowercase;digit;other;.;.;.;.;.;.
49833f5cf0647c2295e3b3bf11a68ec47a813414;18;518685;506.53;0.49;82;469;421;0;18;434;17;0;0.0;3.84;92.54;3.62;0.0;264;0;205;56.29;0.0;43.71;226;469;48.19;18;156;1;51;7.96;69.03;0.44;22.57;3.84;33.26;0.21;10.87;2058;2023;98.3;13494;11;0.08
5F7F36M3NZCHDTIFIVI5JQRBDYNY6KJL;18;38786;37.88;0.04;9;215;215;0;20;0;195;0;0.0;9.3;0.0;90.7;0.0;39;0;176;18.14;0.0;81.86;176;215;81.86;22;146;0;8;12.5;82.95;0.0;4.55;10.23;67.91;0.0;3.72;133;133;100.0;832;0;0.0
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;18;46171;45.09;0.04;49;404;338;0;0;66;338;0;0.0;0.0;16.34;83.66;0.0;228;0;176;56.44;0.0;43.56;242;404;59.9;17;155;0;70;7.02;64.05;0.0;28.93;4.21;38.37;0.0;17.33;746;831;111.39;5090;15;0.29
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;18;2624526;2563.01;2.5;313;941;857;0;797;112;32;0;0.0;84.7;11.9;3.4;0.0;765;0;176;81.3;0.0;18.7;230;941;24.44;10;155;24;41;4.35;67.39;10.43;17.83;1.06;16.47;2.55;4.36;5532;5694;102.93;36901;33;0.09
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;18;41202;40.24;0.04;33;286;270;0;270;16;0;0;0.0;94.41;5.59;0.0;0.0;110;0;176;38.46;0.0;61.54;192;286;67.13;147;13;9;23;76.56;6.77;4.69;11.98;51.4;4.55;3.15;8.04;473;1543;326.22;4016;0;0.0
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;18;41238;40.27;0.04;77;300;296;0;0;286;14;0;0.0;0.0;95.33;4.67;0.0;124;0;176;41.33;0.0;58.67;183;300;61.0;26;143;4;10;14.21;78.14;2.19;5.46;8.67;47.67;1.33;3.33;725;688;94.9;4376;5;0.11
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;18;43952;42.92;0.04;55;378;366;0;355;21;2;0;0.0;93.92;5.56;0.53;0.0;202;0;176;53.44;0.0;46.56;188;378;49.74;8;159;0;21;4.26;84.57;0.0;11.17;2.12;42.06;0.0;5.56;1617;1672;103.4;9886;41;0.41
f55a8d69c6047f9037f79225c367766987e25f2b;18;171013;167.0;0.16;37;367;316;3;19;345;0;0;0.82;5.18;94.01;0.0;0.0;156;7;204;42.51;1.91;55.59;240;367;65.4;7;159;0;74;2.92;66.25;0.0;30.83;1.91;43.32;0.0;20.16;734;735;100.14;4683;16;0.34
f997183fa6bf1ef75e31406d98f025c16e527d20;18;10939048;10682.66;10.43;726;2109;1940;18;22;1714;355;0;0.85;1.04;81.27;16.83;0.0;1119;10;980;53.06;0.47;46.47;363;2109;17.21;9;162;10;182;2.48;44.63;2.75;50.14;0.43;7.68;0.47;8.63;10762;11036;102.55;73327;2492;3.4
