Document Name;Data set document amount;Document file size (B);Document file size (KB);Document file size (MB);Total Paragraph Count;Total Run Element Count;Total Text Element Count;Run Font Sizes (pt) frequencies;.;.;.;.;Run Font Sizes (pt) frequencies (%);.;.;.;.;Run RGB colours frequencies;.;.;Run RGB colours frequencies (%);.;.;Single non-whitespace char run count;Total run element count;Total run element count percentage;Single Char type frequencies;.;.;.;Single Char type frequencies (single run, %);.;.;.;Single Char type frequencies (total runs, %);.;.;.;Total word count;Total whitespace count;Word to Whitespace ratio (%);Total char count;Total non-ASCII char count;Total char to non-ASCII char ratio (%)
.;.;.;.;.;.;.;.;.+20.;.20-11.;.11.;.10-1.;.1.;.+20.;.20-11.;.11.;.10-1.;.1.;black;white;other;black;white;other;;;;uppercase;lowercase;digit;other;uppercase;lowercase;digit;other;uppercase;lowercase;digit;other;.;.;.;.;.;.
49833f5cf0647c2295e3b3bf11a68ec47a813414;16;517371;505.25;0.49;82;267;219;0;18;232;17;0;0.0;6.74;86.89;6.37;0.0;238;0;29;89.14;0.0;10.86;50;267;18.73;0;0;0;50;0.0;0.0;0.0;100.0;0.0;0.0;0.0;18.73;2047;2170;106.01;13838;527;3.81
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;16;45289;44.23;0.04;49;198;132;0;0;66;132;0;0.0;0.0;33.33;66.67;0.0;198;0;0;100.0;0.0;0.0;66;198;33.33;0;0;0;66;0.0;0.0;0.0;100.0;0.0;0.0;0.0;33.33;741;978;131.98;5434;531;9.77
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;16;2623928;2562.43;2.5;313;736;652;0;593;112;31;0;0.0;80.57;15.22;4.21;0.0;736;0;0;100.0;0.0;0.0;55;736;7.47;1;2;21;31;1.82;3.64;38.18;56.36;0.14;0.27;2.85;4.21;5528;5841;105.66;37245;549;1.47
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;16;40236;39.29;0.04;33;80;64;0;64;16;0;0;0.0;80.0;20.0;0.0;0.0;80;0;0;100.0;0.0;0.0;16;80;20.0;0;0;0;16;0.0;0.0;0.0;100.0;0.0;0.0;0.0;20.0;531;1690;318.27;4360;516;11.83
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;16;40433;39.49;0.04;77;94;90;0;0;80;14;0;0.0;0.0;85.11;14.89;0.0;94;0;0;100.0;0.0;0.0;7;94;7.45;0;0;3;4;0.0;0.0;42.86;57.14;0.0;0.0;3.19;4.26;718;835;116.3;4720;521;11.04
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;16;42898;41.89;0.04;55;175;163;0;152;21;2;0;0.0;86.86;12.0;1.14;0.0;175;0;0;100.0;0.0;0.0;12;175;6.86;0;0;0;12;0.0;0.0;0.0;100.0;0.0;0.0;0.0;6.86;1610;1819;112.98;10230;557;5.44
f55a8d69c6047f9037f79225c367766987e25f2b;16;170207;166.22;0.16;37;164;113;3;19;142;0;0;1.83;11.59;86.59;0.0;0.0;129;7;28;78.66;4.27;17.07;66;164;40.24;0;0;0;66;0.0;0.0;0.0;100.0;0.0;0.0;0.0;40.24;724;882;121.82;5027;532;10.58
f997183fa6bf1ef75e31406d98f025c16e527d20;16;10938151;10681.79;10.43;726;1903;1734;18;22;1508;355;0;0.95;1.16;79.24;18.65;0.0;1089;10;804;57.23;0.53;42.25;187;1903;9.83;0;0;10;177;0.0;0.0;5.35;94.65;0.0;0.0;0.53;9.3;10754;11183;103.99;73671;3008;4.08
fsi-2010;16;44032;43.0;0.04;178;2848;2848;0;0;2848;0;0;0.0;0.0;100.0;0.0;0.0;2848;0;0;100.0;0.0;0.0;0;2848;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;3089;3242;104.95;15699;516;3.29
fsi-2019;16;52229;51.0;0.05;2100;35700;35700;0;0;35700;0;0;0.0;0.0;100.0;0.0;0.0;35700;0;0;100.0;0.0;0.0;0;35700;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;35944;36098;100.43;179953;516;0.29
fsi-2021;16;44404;43.36;0.04;180;2880;2880;0;0;2880;0;0;0.0;0.0;100.0;0.0;0.0;2880;0;0;100.0;0.0;0.0;0;2880;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2940;3093;105.2;14389;516;3.59
fsi-2022-download;16;58181;56.82;0.06;2992;56848;56848;0;0;56848;0;0;0.0;0.0;100.0;0.0;0.0;56848;0;0;100.0;0.0;0.0;0;56848;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;57085;57240;100.27;286689;517;0.18
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;16;39233;38.31;0.04;16;112;140;0;0;112;0;0;0.0;0.0;100.0;0.0;0.0;112;0;0;100.0;0.0;0.0;0;112;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1009;1191;118.04;7583;516;6.8
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;16;43763;42.74;0.04;113;213;176;0;4;39;170;0;0.0;1.88;18.31;79.81;0.0;213;0;0;100.0;0.0;0.0;39;213;18.31;0;0;0;39;0.0;0.0;0.0;100.0;0.0;0.0;0.0;18.31;1072;1264;117.91;7000;529;7.56
sa-datasets;16;404970;395.48;0.39;1860;48360;49843;0;0;48360;0;0;0.0;0.0;100.0;0.0;0.0;48360;0;0;100.0;0.0;0.0;0;48360;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;153161;155352;101.43;1340044;1120;0.08
TEST_0;16;15772;15.4;0.02;17;27;26;2;0;25;0;0;7.41;0.0;92.59;0.0;0.0;27;0;0;100.0;0.0;0.0;2;27;7.41;0;1;0;1;0.0;50.0;0.0;50.0;0.0;3.7;0.0;3.7;1336;1478;110.63;8219;516;6.28
