Document Name;Total Paragraph Count;Total Run Element Count;Total Text Element Count;Run Font Sizes (pt) frequencies;.;.;.;.;Run Font Sizes (pt) frequencies (%);.;.;.;.;Run RGB colours frequencies;.;.;Run RGB colours frequencies (%);.;.;Single non-whitespace char run count;Total run element count;Total run element count percentage;Single Char type frequencies;.;.;.;Single Char type frequencies (single run, %);.;.;.;Single Char type frequencies (total runs, %);.;.;.;Total word count;Total whitespace count;Word to Whitespace ratio (%);Total char count;Total non-ASCII char count;Total char to non-ASCII char ratio (%)
.;.;.;.;.+20.;.20-11.;.11.;.10-1.;.1.;.+20.;.20-11.;.11.;.10-1.;.1.;black;white;other;black;white;other;;;;uppercase;lowercase;digit;other;uppercase;lowercase;digit;other;uppercase;lowercase;digit;other;.;.;.;.;.;.
49833f5cf0647c2295e3b3bf11a68ec47a813414;82;1211;1163;0;18;922;35;236;0.0;1.49;76.14;2.89;19.49;934;236;41;77.13;19.49;3.39;295;1211;24.36;112;96;31;56;37.97;32.54;10.51;18.98;9.25;7.93;2.56;4.62;2294;2259;98.47;13966;11;0.08
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;49;1142;1061;0;0;66;840;236;0.0;0.0;5.78;73.56;20.67;906;236;0;79.33;20.67;0.0;315;1142;27.58;112;102;28;73;35.56;32.38;8.89;23.17;9.81;8.93;2.45;6.39;982;1067;108.66;5562;15;0.27
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;313;1680;1585;0;1295;112;37;236;0.0;77.08;6.67;2.2;14.05;1444;236;0;85.95;14.05;0.0;306;1680;18.21;113;102;49;42;36.93;33.33;16.01;13.73;6.73;6.07;2.92;2.5;5768;5930;102.81;37373;33;0.09
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;33;1024;849;0;772;16;0;236;0.0;75.39;1.56;0.0;23.05;788;236;0;76.95;23.05;0.0;264;1024;25.78;113;95;30;26;42.8;35.98;11.36;9.85;11.04;9.28;2.93;2.54;709;1779;250.92;4488;0;0.0
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;77;1038;1023;0;0;788;14;236;0.0;0.0;75.92;1.35;22.74;802;236;0;77.26;22.74;0.0;258;1038;24.86;112;101;32;13;43.41;39.15;12.4;5.04;10.79;9.73;3.08;1.25;961;924;96.15;4848;5;0.1
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;55;1119;1099;0;857;24;2;236;0.0;76.59;2.14;0.18;21.09;883;236;0;78.91;21.09;0.0;253;1119;22.61;112;99;29;13;44.27;39.13;11.46;5.14;10.01;8.85;2.59;1.16;1853;1908;102.97;10358;41;0.4
f55a8d69c6047f9037f79225c367766987e25f2b;37;1108;1049;3;55;814;0;236;0.27;4.96;73.47;0.0;21.3;789;243;76;71.21;21.93;6.86;308;1108;27.8;114;99;28;67;37.01;32.14;9.09;21.75;10.29;8.94;2.53;6.05;970;971;100.1;5155;16;0.31
f997183fa6bf1ef75e31406d98f025c16e527d20;726;2847;2674;18;58;1850;685;236;0.63;2.04;64.98;24.06;8.29;1422;246;1179;49.95;8.64;41.41;431;2847;15.14;112;101;38;180;25.99;23.43;8.82;41.76;3.93;3.55;1.33;6.32;10998;11272;102.49;73799;2492;3.38
fsi-2010;178;3792;3792;0;0;3556;0;236;0.0;0.0;93.78;0.0;6.22;3556;236;0;93.78;6.22;0.0;248;3792;6.54;112;95;40;1;45.16;38.31;16.13;0.4;2.95;2.51;1.05;0.03;3331;3331;100.0;15827;0;0.0
fsi-2019;2100;36644;36644;0;0;36408;0;236;0.0;0.0;99.36;0.0;0.64;36408;236;0;99.36;0.64;0.0;236;36644;0.64;112;95;28;1;47.46;40.25;11.86;0.42;0.31;0.26;0.08;0.0;36187;36187;100.0;180081;0;0.0
fsi-2021;180;3824;3824;0;0;3588;0;236;0.0;0.0;93.83;0.0;6.17;3588;236;0;93.83;6.17;0.0;249;3824;6.51;112;95;41;1;44.98;38.15;16.47;0.4;2.93;2.48;1.07;0.03;3182;3182;100.0;14517;0;0.0
fsi-2022-download;2992;57792;57792;0;0;57556;0;236;0.0;0.0;99.59;0.0;0.41;57556;236;0;99.59;0.41;0.0;236;57792;0.41;112;95;28;1;47.46;40.25;11.86;0.42;0.19;0.16;0.05;0.0;57329;57329;100.0;286817;1;0.0
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;16;1056;1067;0;0;820;0;236;0.0;0.0;77.65;0.0;22.35;820;236;0;77.65;22.35;0.0;237;1056;22.44;112;96;28;1;47.26;40.51;11.81;0.42;10.61;9.09;2.65;0.09;1253;1280;102.15;7711;0;0.0
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;113;1157;1100;0;4;39;878;236;0.0;0.35;3.37;75.89;20.4;921;236;0;79.6;20.4;0.0;284;1157;24.55;115;96;30;43;40.49;33.8;10.56;15.14;9.94;8.3;2.59;3.72;1315;1353;102.89;7128;13;0.18
sa-datasets;1860;49304;50787;0;0;49068;0;236;0.0;0.0;99.52;0.0;0.48;49068;236;0;99.52;0.48;0.0;239;49304;0.48;112;98;28;1;46.86;41.0;11.72;0.42;0.23;0.2;0.06;0.0;153406;155441;101.33;1340172;604;0.05
TEST_0;17;971;968;2;0;733;0;236;0.21;0.0;75.49;0.0;24.3;735;236;0;75.7;24.3;0.0;245;971;25.23;113;101;28;3;46.12;41.22;11.43;1.22;11.64;10.4;2.88;0.31;1582;1567;99.05;8347;0;0.0
