Document Name;Total Paragraph Count;Total Run Element Count;Total Text Element Count;Run Font Sizes (pt) frequencies;.;.;.;.;Run Font Sizes (pt) frequencies (%);.;.;.;.;Run RGB colours frequencies;.;.;Run RGB colours frequencies (%);.;.;Single non-whitespace char run count;Total run element count;Total run element count percentage;Single Char type frequencies;.;.;.;Single Char type frequencies (single run, %);.;.;.;Single Char type frequencies (total runs, %);.;.;.;Total word count;Total whitespace count;Word to Whitespace ratio (%);Total char count;Total non-ASCII char count;Total char to non-ASCII char ratio (%)
.;.;.;.;.+20.;.20-11.;.11.;.10-1.;.1.;.+20.;.20-11.;.11.;.10-1.;.1.;black;white;other;black;white;other;;;;uppercase;lowercase;digit;other;uppercase;lowercase;digit;other;uppercase;lowercase;digit;other;.;.;.;.;.;.
49833f5cf0647c2295e3b3bf11a68ec47a813414;82;474;426;0;18;439;17;0;0.0;3.8;92.62;3.59;0.0;269;0;205;56.75;0.0;43.25;226;474;47.68;3;172;0;51;1.33;76.11;0.0;22.57;0.63;36.29;0.0;10.76;2058;2023;98.3;13494;11;0.08
5F7F36M3NZCHDTIFIVI5JQRBDYNY6KJL;9;222;222;0;1;0;221;0;0.0;0.45;0.0;99.55;0.0;46;0;176;20.72;0.0;79.28;176;222;79.28;8;163;0;5;4.55;92.61;0.0;2.84;3.6;73.42;0.0;2.25;133;133;100.0;832;0;0.0
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;49;392;326;0;0;66;326;0;0.0;0.0;16.84;83.16;0.0;216;0;176;55.1;0.0;44.9;242;392;61.73;22;135;9;76;9.09;55.79;3.72;31.4;5.61;34.44;2.3;19.39;746;831;111.39;5090;15;0.29
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;313;936;852;0;793;112;31;0;0.0;84.72;11.97;3.31;0.0;760;0;176;81.2;0.0;18.8;231;936;24.68;12;159;21;39;5.19;68.83;9.09;16.88;1.28;16.99;2.24;4.17;5532;5694;102.93;36901;33;0.09
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;33;288;272;0;272;16;0;0;0.0;94.44;5.56;0.0;0.0;112;0;176;38.89;0.0;61.11;192;288;66.67;33;110;17;32;17.19;57.29;8.85;16.67;11.46;38.19;5.9;11.11;473;1543;326.22;4016;0;0.0
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;77;300;296;0;0;286;14;0;0.0;0.0;95.33;4.67;0.0;124;0;176;41.33;0.0;58.67;183;300;61.0;8;159;5;11;4.37;86.89;2.73;6.01;2.67;53.0;1.67;3.67;725;688;94.9;4376;5;0.11
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;55;375;363;0;351;22;2;0;0.0;93.6;5.87;0.53;0.0;199;0;176;53.07;0.0;46.93;188;375;50.13;6;165;1;16;3.19;87.77;0.53;8.51;1.6;44.0;0.27;4.27;1617;1672;103.4;9886;41;0.41
f55a8d69c6047f9037f79225c367766987e25f2b;37;372;321;3;19;350;0;0;0.81;5.11;94.09;0.0;0.0;161;7;204;43.28;1.88;54.84;242;372;65.05;11;163;0;68;4.55;67.36;0.0;28.1;2.96;43.82;0.0;18.28;734;735;100.14;4683;16;0.34
f997183fa6bf1ef75e31406d98f025c16e527d20;726;2105;1936;18;22;1710;355;0;0.86;1.05;81.24;16.86;0.0;1115;10;980;52.97;0.48;46.56;363;2105;17.24;13;158;10;182;3.58;43.53;2.75;50.14;0.62;7.51;0.48;8.65;10762;11036;102.55;73327;2492;3.4
fsi-2010;178;3027;3027;0;0;3027;0;0;0.0;0.0;100.0;0.0;0.0;2851;0;176;94.19;0.0;5.81;176;3027;5.81;3;21;112;40;1.7;11.93;63.64;22.73;0.1;0.69;3.7;1.32;3095;3095;100.0;15355;0;0.0
fsi-2019;2100;35876;35876;0;0;35876;0;0;0.0;0.0;100.0;0.0;0.0;35700;0;176;99.51;0.0;0.49;176;35876;0.49;44;132;0;0;25.0;75.0;0.0;0.0;0.12;0.37;0.0;0.0;35951;35951;100.0;179609;0;0.0
fsi-2021;180;3056;3056;0;0;3056;0;0;0.0;0.0;100.0;0.0;0.0;2880;0;176;94.24;0.0;5.76;176;3056;5.76;4;32;106;34;2.27;18.18;60.23;19.32;0.13;1.05;3.47;1.11;2946;2946;100.0;14045;0;0.0
fsi-2022-download;2992;57024;57024;0;0;57024;0;0;0.0;0.0;100.0;0.0;0.0;56848;0;176;99.69;0.0;0.31;176;57024;0.31;44;132;0;0;25.0;75.0;0.0;0.0;0.08;0.23;0.0;0.0;57093;57093;100.0;286345;1;0.0
FXDCZKVBXPOBKON5ZHKWU6WCDH5BEDYV;5;218;218;0;123;0;95;0;0.0;56.42;0.0;43.58;0.0;42;0;176;19.27;0.0;80.73;176;218;80.73;8;138;17;13;4.55;78.41;9.66;7.39;3.67;63.3;7.8;5.96;68;70;102.94;373;0;0.0
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;16;307;335;0;0;307;0;0;0.0;0.0;100.0;0.0;0.0;131;0;176;42.67;0.0;57.33;176;307;57.33;14;160;0;2;7.95;90.91;0.0;1.14;4.56;52.12;0.0;0.65;1017;1044;102.65;7239;0;0.0
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;113;417;380;0;4;39;374;0;0.0;0.96;9.35;89.69;0.0;241;0;176;57.79;0.0;42.21;215;417;51.56;29;141;4;41;13.49;65.58;1.86;19.07;6.95;33.81;0.96;9.83;1079;1117;103.52;6656;13;0.2
sa-datasets;1860;48563;50046;0;0;48563;0;0;0.0;0.0;100.0;0.0;0.0;48387;0;176;99.64;0.0;0.36;176;48563;0.36;14;160;0;2;7.95;90.91;0.0;1.14;0.03;0.33;0.0;0.0;153170;155205;101.33;1339700;604;0.05
TEST_0;17;243;242;2;0;241;0;0;0.82;0.0;99.18;0.0;0.0;67;0;176;27.57;0.0;72.43;178;243;73.25;1;175;0;2;0.56;98.31;0.0;1.12;0.41;72.02;0.0;0.82;1346;1331;98.89;7875;0;0.0
