Document Name;Total Paragraph Count;Total Run Element Count;Total Text Element Count;Run RGB colours frequencies;.;.;Run RGB colours frequencies (%);.;.
.;.;.;.;black;white;other;black;white;other
49833f5cf0647c2295e3b3bf11a68ec47a813414;82;267;219;238;0;29;89.14;0.0;10.86
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;49;198;132;198;0;0;100.0;0.0;0.0
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;313;736;652;736;0;0;100.0;0.0;0.0
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;77;94;90;94;0;0;100.0;0.0;0.0
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;55;175;163;175;0;0;100.0;0.0;0.0
f55a8d69c6047f9037f79225c367766987e25f2b;37;164;113;129;7;28;78.66;4.27;17.07
f997183fa6bf1ef75e31406d98f025c16e527d20;726;1903;1734;1089;10;804;57.23;0.53;42.25
fsi-2010;178;2848;2848;2848;0;0;100.0;0.0;0.0
fsi-2019;2100;35700;35700;35700;0;0;100.0;0.0;0.0
fsi-2021;180;2880;2880;2880;0;0;100.0;0.0;0.0
fsi-2022-download;2992;56848;56848;56848;0;0;100.0;0.0;0.0
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;16;112;140;112;0;0;100.0;0.0;0.0
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;113;213;176;213;0;0;100.0;0.0;0.0
sa-datasets;1860;48360;49843;48360;0;0;100.0;0.0;0.0
TEST_0;17;27;26;27;0;0;100.0;0.0;0.0
